Nombres Streamers,Current Active Subs,Subs Type Paid,Subs Type Prime,Subs Type Gifted,Subs Type Tier 1($4.99),Subs Type Tier 2($9.99),Subs Type Tier 3($24.99)
JOKERDTV,3775,2545,976,2025,2531,6,8
THENICOLET,3765,3285,481,2125,3213,54,18
SILVERVALE,3750,3023,418,1749,2912,55,56
ELWYCCO,3749,3676,38,1437,3635,22,19
NIKKOORTIZZZ,3746,?,?,2818,?,103,13
TRILLUXE,3741,1439,1766,493,1420,16,3
花輪同學,3717,3622,10,2993,3608,2,12
LEOPARD,3716,?,?,1073,?,69,68
VALLE,3714,3415,231,3042,3394,11,10
SARDOCHE,3711,1556,1605,174,1531,11,14
FAUX,3706,2351,1041,1617,2290,6,55
TOMMYINNIT,3690,1812,1052,707,1804,7,1
SABAKU_NO_SUTORIIMAA,3685,1056,2116,504,1045,5,6
MAHLUNA,3673,2101,1152,1184,2060,20,21
JERICHO,3672,3669,0,345,3617,31,21
CHAOTICMUCH,3672,?,?,2532,?,5,9
THEGUILL84,3672,2329,1002,1621,2311,14,4
SMZINHO,3665,633,2474,113,627,1,5
THEKAIRI78,3665,2733,707,2232,2680,4,49
MARIO,3657,?,?,3179,?,4,4
GRANDPOOBEAR,3632,2385,900,1530,2331,25,29
FELPS,3631,?,?,109,?,23,15
ROYALPHUNK,3627,2392,868,1348,2336,38,18
풍월량,3622,2975,223,1019,2954,8,13
JOLAVANILLE,3608,1982,1246,1285,1977,4,1
오킹,3604,3170,32,1124,3158,4,8
SHIVFPS,3593,1852,1296,942,1829,14,9
DADDYGUS99,3588,?,?,3106,?,12,10
ITS_IRON,3578,3019,354,2249,3007,7,5
UBERHAXORNOVA,3561,1919,1187,708,1868,25,26
ETOILES,3559,1566,1488,328,1554,7,5
DIESERKINGPHIL,3545,?,?,1565,?,33,12
KITBOGA,3504,1793,1300,662,1737,35,21
DJMIKEMORINO,3501,?,?,3205,?,37,30
NYANNERS,3496,2537,555,994,2484,30,23
XARI,3495,1515,1446,204,1476,30,9
JESSIECOOKS,3487,3440,47,3230,3428,6,6
WESTCOL,3473,2282,806,996,2279,1,2
XTH0REK,3467,2330,854,1711,2306,12,12
TESTY,3466,?,?,3126,?,7,102
SOMMERSET,3431,2798,437,2138,2719,36,43
BIYIN_,3427,2254,796,1008,2229,5,20
PARISPLATYNOV,3424,?,?,505,?,1,8
SYPHERPK,3416,2095,1217,1049,2076,10,9
ANDREADEL1988,3403,1707,1406,1496,1704,1,2
PISICELA,3376,2445,665,1726,2420,14,11
ALEXCLICK,3374,1823,1073,447,1799,9,15
CHOCOTACO,3367,1403,1113,593,1373,24,6
JUICYJ_CR,3353,?,?,2521,?,28,9
POKIMANE,3341,2150,829,767,2089,23,38
