URL imagen Streamer,Nombres Streamers,AVG viewers,Time Streamed,All time peak viewers,Hours watched,Rank,Followers gained,Total followers,Total views
"
<a href=""/hanryang1125"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/7d354ef2-b2a8-4276-8c12-5be7f6301ae0-profile_image-300x300.png"">
</a>
",풍월량,"14,289","223.3
hours","44,351",3.19M,59,+2.1K,590K,158M
"
 <a href=""/nmplol"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/e4d9bf96-311d-487a-b5eb-9f9a94e0f795-profile_image-300x300.png"">
</a>
",NMPLOL,"23,311","88.6
hours","85,653",2.07M,60,+11.9K,1.02M,54.7M
"
<a href=""/tenz"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/17a3e618-d192-4870-82e5-b55082289a2e-profile_image-300x300.png"">
</a>
",TENZ,"24,922","75.2
hours","85,010",1.87M,61,+121K,3.05M,52.8M
"
<a href=""/wilbursoot"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/96a94fcc-65e6-46f7-af5c-dc308155a63b-profile_image-300x300.png"">
</a>
",WILBURSOOT,"39,113","5.6
hours","215,211",217K,62,+19.0K,4.60M,25.1M
"
<a href=""/therealknossi"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/c285a6bd-79be-43a8-87eb-427602125bad-profile_image-300x300.png"">
</a>
",THEREALKNOSSI,"29,040","45.8
hours","336,065",1.33M,63,+31.9K,2.04M,68.7M
"
<a href=""/quin69"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/2f5addde-fd0d-4a10-82a9-ea91ebb17f8d-profile_image-300x300.png"">
</a>
",QUIN69,"12,463","259.7
hours","44,153",3.24M,64,+5.3K,701K,113M
"
<a href=""/csgo_mc"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/22291960-3b5d-4bfd-b929-188df129403e-profile_image-300x300.png"">
</a>
",CSGO_MC,"17,963","141.9
hours","364,816",2.55M,65,+11.7K,1.15M,151M
"
<a href=""/lol_woolf"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/4720b1b4-16a3-4eed-aac5-fd36ced3b789-profile_image-300x300.png"">
</a>
",울프,"24,075","75.9
hours","105,866",1.83M,66,+9.8K,428K,29.0M
"
<a href=""/squeezie"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/df3e5800-b524-4c4e-87b0-8b3646d9185a-profile_image-300x300.png"">
</a>
",SQUEEZIE,"36,134","11.4
hours","388,941",411K,67,+20.2K,3.65M,66.7M
"
<a href=""/cellbit"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/cb885149-f7f7-48f0-99ae-fe0a386ed3e2-profile_image-300x300.png"">
</a>
",CELLBIT,"17,019","153
hours","151,997",2.60M,68,+36.3K,2.44M,84.1M
"
<a href=""/woowakgood"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/ebc60c08-721b-4572-8f51-8be7136a0c96-profile_image-300x300.png"">
</a>
",우왁굳,"14,432","200.9
hours","44,069",2.90M,69,+10.3K,880K,86.3M
"
<a href=""/evelone192"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/f26a992a-a661-4697-bfa4-7ca7f400b929-profile_image-300x300.png"">
</a>
",EVELONE192,"32,620","23.2
hours","153,742",756K,70,+13.8K,2.22M,99.1M
"
<a href=""/yourragegaming"" target=""_blank"">
 <img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/70c63d12-ecae-485c-9bca-3d3f3ad5782a-profile_image-300x300.png"">
</a>
",YOURRAGEGAMING,"19,549","114.3
hours","50,469",2.24M,71,+61.8K,1.12M,11.2M
"
<a href=""/gerardromero"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/18f3af06-2122-45ed-aad5-dcbedfbb1130-profile_image-300x300.png"">
</a>
",GERARDROMERO,"15,333","177.8
hours","146,872",2.73M,72,+80.3K,334K,4.54M
"
<a href=""/antoinedaniel"" target=""_blank"">
<img class=""img-circle"" src=""https://static-cdn.jtvnw.net/jtv_user_pictures/7474d9d8-ab27-46c8-95f4-0c71b1878c78-profile_image-300x300.png"">
</a>
",ANTOINEDANIEL,"20,052","103
hours","74,618",2.06M,73,+38.4K,871K,37.3M
